鸦 鴉 [āa] "a crow"    
震腾腾 震騰騰 "[jan tàhng tàhng]" "to tremble with fear."    
憎 憎 [jāng] "to hate"    
憎人富贵厌人贫(穷) 憎人富貴厭人貧(窮) "[jāng yàhn fu gwai yim yàhn pàhn (kùhng)]" "(to hate people getting rich and to loathe people getting poor)to feel envy when people get rich and despise those who become poor."    
峥 崢 [jāng] steep    
执 執 [jāp] "1. to pick up2. to physically assault, to beat up3. to go bankrupt4. to have sex with"    
执包袱 執包袱 "[jāp bāau fuhk]" "1. to leave a job, to quit a job2. to be fired from a job"    
执多剂 執多劑 "[jāp dō jāi]" "1. to have sex with someone again2. to beat somone up again, to beat someone up further3. to rape someone again"    
执倒 執倒 "[jāp dóu]" "to achieve something a desirable"    
执到宝 執到寶 "[jāp dóu bóu]" "to achieve a desirable aim"    
执到都喊三声 執到都喊三聲 "[jāp dóu dōu haam sāam sēng]" "a goal that is not worth achieving, an undesirable target, a goal that will not bring happiness if achieved."    
执返条命仔 執返條命仔 "[jāp fāan tìuh mehng jái]" "to survive, to remain alive"    
执返一身彩 執返一身彩 "[jāp fāan yāt sān chói]" "to be fortunate, to be lucky"    
执鸡 執雞 "[jāp gāi]" "(to pick up a chicken)1. to take something which someone else has lost or thrown away2. to start a relationship with someone who has been rejected by their former lover3. (in soccer) to score an easy goal after a shot has been blocked by the goal keeper. "    
执口水尾 執口水尾 "[jāp háu séui mēi]" "(to pick mouth water tail)to repeat something said by someone else. "    
执正啲 執正啲 "[jāp jeng dī]" "to dress properly, to dress smartly"    
执笠 執笠 "[jāp lāp]" "(to pick up the crates)to go bankrupt"    
执生 執生 "[jāp sāang]" "(to pick up life)1. to take things as they come2. to look after oneself3. to keep an eye on how things develop4. to sort out a situation5. to look out"    
执舍 執捨 "[jāp sahp]" "to tidy up"    
执身彩 執身彩 "[jāp sān chói]" "to be lucky, to have good fortune"    
执手尾 執手尾 "[jāp sáu méih]" "to finish a job for someone, to pick up a task begun by someone else and complete it."    
执死鸡 執死雞 "[jāp séi gāi]" "(to pick up a dead chicken)1. to take something which someone else has lost or thrown away2. to take advantage of a situation3. to start off a relationship with someone who has been rejected by their former lover4. to get the benefit of someone else's hard work4. to score an easy goal after a shot has been blocked by the goal keeper."    
执输 執輸 "[jāp syū]" "to fall behind, to lose ground, to miss out (on some benefit or advantage)."    
执输行头惨过败家 執輸行頭慘過敗家 "[jāp syū hàahng tàuh, cháam gwo baaih gāa]" "(missing out getting to the front is worst than having one's family ruined)used to tell someone to hurry up, especially when there is a queue. "    
执头执尾 執頭執尾 "[jāp tàuh jāp méih]" "to clean up after, to do odd jobs for."    
执条袜带累身家 執條襪帶累身家 "[jāp tìuh maht dáai leuih sān gāa]" "(to pick up a package string lace and harm the wealth)a chance gift may lead to an expensive purchase, e.g. if you are given a compact disc you may end up buying a compact disc player. "    
执人口水溦 執人口水溦 "[jāp yàhn háu séui mēi]" "to have no ideas of one's own, to echo what someone else says, to be a mindless follower, to ""parrot"" someone's words."    
执一剂 執一劑 "[jāp yāt jāi]" "1. to have sex with someone once, on one occasion2. to beat up someone"    
执二摊 執二攤 "[jāp yih tāan]" "(to take over someone else's market stall)1. to use second-hand goods2. to date someone's ex-boy/girl friend."    
汁 汁 [jāp] sauce    
汁都捞埋 汁都撈埋 "[jāp dōu lōu màaih]" "(nothing left not even the sauce)1. to exploit someone or something to the full2. to consume every possible thing to offer."    
质 質 [jāt] "1. quality2. to beat, to hit3. to force down the price (e.g.of a share)4. to stub out a cigarette5. to offer"    
周 周 [jāu] "1. to revolve2. to be caught out, to be trapped, to be found out"    
周身刀冇张利 周身刀冇張利 "[jāu sān dōu móuh jēung leih]" "someone who knows something about a lot of different areas, who has a variety of skills, but is not excellent at any of them, a ""jack-of-all-trades, master of none""."    
周身唔聚财 周身唔聚財 "[jāu sān m4 jeuih chòih]" "(the whole body is unable to keep hold of wealth)ill-at-ease, uneasy, uncomfortable"    
周身蚁 周身蟻 "[jāu sān ngáih]" "to be in great trouble"    
周身屎 周身屎 "[jāu sān sí]" "to be in great trouble"    
周围贡 周圍貢 "[jāu wàih gung]" "(all round scamper)to run around haphazardly, to go everywhere (e.g. a messenger, delivery boy)."    
走 走 [jáu] "1. to run2 to go away"    
走白牌 走白牌 "[jáu baahk páai]" "a private car used as an illegal or informal taxi, ""gypsy cab""."    
走宝 走寶 "[jáu bóu]" "to miss a valuable chance"    
走趯 走趯 "[jáu dek]" "to run errands. "    
走法律罅 走法律罅 "[jáu faat leuht la]" "(to use a gap in law)to exploit a legal loophole."    
走粉 走粉 "[jáu fán]" "drug traficking" " drug-smuggling"   
走火 走火 "[jáu fó]" "to come sexuallly, to have an ejaculation"    
走夹唔抖 走夾唔抖 "[jáu gaap m4 táu]" "to run away, to flee, to run for one's life"    
走鸡 走雞 "[jáu gāi]" "to miss a chance, to lose an opportunity"    
走狗 走狗 "[jáu gáu]" "a slavish subordinate, a traitor who serves the enemy, a ""running dog""."    
走鬼 走鬼 "[jáu gwái]" "to make a run for it" " to make a gateway" " e.g. of illegal hawkers/underage prostitutes fleeing inspection. "  
走鬼档 走鬼檔 "[jáu gwái dong]" "to make a run for it when the police come"    
走光 走光 "[jáu gwōng]" "to reveal some flesh, to expose oneself inadvertently (e.g. when a woman's clothes slip)."    
走后门 走後門 "[jáu hauh mún]" "(to go by the back door)1. to achieve one's goal by using unofficial channels2. to use connections or personnel contacts in dealing with bureaucracy."    
走开 走開 "[jáu hōi]" "a rude expression telling someone to leave, ""go away!""."    
走盏 走盞 "[jáu jáan]" "to back out, to change one's mind, to withdraw from an agreement."    
走精面 走精面 "[jáu jēng mín]" "to act selfishly, to act only for one's own benefit."    
走捻开 走撚開 "[jáu lán hōi]" "an obscene expression used to tell someone to leave, ""fuck off!""."    
走甩 走甩 "[jáu lāt]" "to get away, to escape, to ""shake off""."    
走佬 走佬 "[jáu lóu]" "1. to be on the run (especially from the police)2. to run away3. to flee from a creditor"    
走私 走私 "[jáu sī jūng]" "1. smuggling2. adultery"    
走私钟 走私鐘 "[jáu sī jūng]" "to be involved in the business of prostitution, to be in the vice business."    
走数 走數 "[jáu sou]" "to avoid repaying debts"    
走头/投 走頭/投 "[jáu tàuh]" "to go away, to leave, to flee"    
走堂 走堂 "[jáu tòhng]" "to play truant from school, to skip classes. "    
酒 酒 [jáu] wine    
酒鬼 酒鬼 "[jáu gwái]" "a big drinker, an alcoholic, a ""boozer"". "    
酒醉三分醒 酒醉三分醒 "[jáu jeui sāam fān síng]" "(drunk means a thirty percent sober)used to assert that someone who is drunk is still responsible or accountable for their actions. "    
酒色财气 酒色財氣 "[jáu sīk chòih hei]" "money, sex and power."    
就 就 [jauh] "1. to compromise, to meet someone halfway2. to give in to someone's demands. "    
就脚 就腳 "[jauh geuk]" "a place that is easy to get to, an easily accessible place"    
就住 就住 "[jauh jyuh]" "to pay attention to something, to take care in a particular situation."    
就手 就手 "[jauh sáu]" "at one's convenience"    
遮 遮 [jē] "1. to cover2. umbrella "    
遮柄 遮柄 [jē] "an umbrella handle"    
席 蓆 [jehk] "to eat (Chiu Chow)"    
席饭 蓆飯 "[jehk buhng]" "to eat, to eat rice (Chiu Chow)"    
席嗲 蓆嗲 "[jehk dē]" "1. to drink tea2. to have dimsum (Chiu Chow)"    
席西 蓆西 "[jehk sāi]" "(to eat shit)used to indicate aggression or irritation with someone, ""eat shit!""."    
席咗佢 蓆咗佢 [jēk] "(eat her)an exclamation used to indicate that one has seen someone attractive, ""get her!"", ""wow look at her!""."    
姐 姐 [jé] "1. en elder sister2. a young woman"    
姐手姐脚 姐手姐腳 "[jé sáu jé geuk]" "(woman's hand woman's feet)to be feeble"    
蔗 蔗 [je] cane    
蔗渣咁嘅价钱 蔗渣咁嘅價錢 "[je jāa gám ge gaa chìhn]" "(cane dregs price)the absolute lowest possible price, the ""rock-bottom price""."    
借 借 [je] "1. to borrow2. to lend"    
借啲意 借啲意 "[je dī yī]" "to make the weakest excuse, to make a feeble excuse"    
借过桥 借過橋 "[je... gwo kíu]" "(to cross the bridge)to make use of someone or something to get oneself out of a difficult situation. "    
借咗聋耳陈只耳 借咗聾耳陳隻耳 "[je jó lùhng yíh chán jek yíh]" "to pretend not to hear, to behave as if one has not heard someone, to ignore someone's opinion."    
借马 借馬 "[je máah]" "(to borrow horses)1. to borrow triad followers for a particular purpose2. to borrow the followers from another triad group, to pay for the services of the members of another triad group. "    
借歪 借歪 "[je mé]" "excuse me"    
借女 借女 "[je néui]" "(to lend girls)to lend the services of prostitutes from one business to another. "    
借尿遁 借尿遁 "[je niuh deuhn]" "to escape from a situation by pretending to need to go to the toilet."    
借水遁 借水遁 "[je séui deuhn]" "to escape from a situation by pretending to need to go to the toilet."    
借头借路 借頭借路 "[je tàuh je louh]" "to find any excuse, to use an pretext."    
谢 謝 [jeh] "1. wither2. tired, worn out, exhausted3. in a bad situation4. beaten to submission4. dead"    
谢皮 謝皮 "[jeh pèih]" "(wither skin)to die"    
𡁻 𡁻 "[multiple readings]" "[jehw] 1. to have sex with a woman2. to physically assault [jiuh] 1. to chew2. to occupy3. to beat up4. to have sex with a woman"    
噍低 噍低 "[jehw dāi]" "to beat up, to finish off"    
只 隻 [jek] "a classifer for utensils, for animals, for parts of body"    
只抽 隻抽 "[jek chāu]" "a one-against-one fight"    
只揪只 隻揪隻 "[jek chāu jek]" "a one-against-one fight"    
只dup 隻dup "[jek dahp/dāp]" "a one-against-one fight"    
集炼只 集鍊隻 "[jek lín jek]" "a one-against-one fight"    
只嘢 隻嘢 "[jek yéh]" "(this thing)a term used to refer to a particular person without naming them, ""that so-and-so"" (to express dislke of a person)."    
呢只嘢 呢隻嘢 "[nī jek yéh]" "(this thing)a term used to refer to a particular person without naming them, ""that so-and-so"" (to express dislke of a person)."    
只眼开只眼闭 隻眼開隻眼閉 "[jek ngáahn hōi jek ngáahn bai]" "(to open one eye and close the other)to pretend not to notice something, to turn a blind eye to something. "    
Jam嘢 Jam嘢 "[jēm yéh]" "to play rock music with other people"    
精 精 [jēng] "1. refined2. bright3. perfect"    
精乖 精乖 "[jēng gwāai]" "smart, bright (usually of children)"    
精叻 精叻 "[jēng lēk]" "smart, intelligent, capable"    
精人出口笨人出手 精人出口笨人出手 "[jēng yàhn chēut háu, bahn yàhn chēut sáu]" "(the clever person uses words" " the stupid person uses their hands)a smart person gets stupid people to carry out difficult or annoying tasks for them."   
正 正 "[multiple readings]" "[jeng]1. great, terrific2. exactly [jing]formal"    
正菜 正菜 "[jeng choi]" "(great vegetable)a good-looking girl, a sexually attractive young woman. "    
正斗 正斗 "[jeng dáu]" "1. great!, excellent!2. attractive, very good; cute (especially a young woman), sexy (of a woman)"    
正到痹 正到痹 "[jeng dou bei]" "(great until paralysis)really great!, terrific!"    
正嘢 正嘢 "[jeng yéh]" "excellent quality, fine quality, ""great stuff""."    
啫 啫 [jēu] "the penis (child's term, humorous)"    
啫啫 啫啫 "[jēu jēu]" "the penis (chld's term, humorous)"    
着数 著數 "[jeuhk sou]" "1. profitable2. profit, advantage3. a payment (""sweetener"") offered to assist in the closing of a deal."    
尽 盡 [jeuhn] "to exhaust"    
尽地一煲 盡地一煲 "[jeuhn deih yāt bōu]" "to risk everything on one bet" " to gamble everything on one plan"   
尽地一铺 盡地一舖 "[jeuhn deih yāt pōu]" "to risk everything on one bet" " to gamble everything on one plan"   
追 追 [jēui] "1. to chase2. to keep gambling in an attempt to recoup one's losses."    
追到瘦 追到瘦 "[jēui dou sau]" "(to chase someone until they become thin)to put pressure on someone for something, to ""put the squeeze"" on somebody."    
追到天脚底 追到天腳底 "[jēui dou tīn geuk dái]" "to hunt down, to hunt someone to the end of the earth"    
追龙 追龍 "[jēui lùhng]" "(to chase dragon)to smoke heroin, to ""chase the dragon""."    
追女仔 追女仔 "[jēui léuih jái]" "to chase after women, to be on the look out for a date or sexual encounter with a woman. "    
追入 追入 "[jēui yahp]" "1. to raise the stakes2. to jump on a bandwagon3. to buy a rising stock"    
嘴 嘴 [jéui] "the mouth"    
咀 咀 [jéui] "to kiss"    
咀啖 咀啖 "[jéui daahm]" "to kiss, to give a kiss"    
嘴刁 嘴刁 "[jéui dīu]" "argumentative, verbally aggressive"    
嘴庙庙 嘴廟廟 "[jéui míu míu]" "to pout"    
醉 醉 [jeui] drunk    
醉到一劈屎 醉到一劈屎 "[jeui dou yāt pek sí]" "very drunk, toally inebriated, ""shit-faced"""    
醉醺醺 醉醺醺 "[jeui fān fān]" "very drunk"    
醉酒佬 醉酒佬 "[jeui jáu lóu]" "an alcoholic, a big drinker, a drunk, a ""boozer""."    
醉猫 醉貓 "[jeui māau]" "(drunken cat)a drunkard"    
聚 聚 [jeuih] "to gather"    
聚脚 聚腳 "[jeuih geuk]" "to get together, to socialise, to ""hang out"" together."    
着 著 [jeuk] "to wear"    
着草 著草 "[jeuk chóu]" "1. to go into hiding2. to be on the run from the police"    
着草鞋 著草鞋 "[jeuk chóu hàaih]" "1. to go into hiding2. to be on the run from the police"    
着裤 著褲 "[jeuk fu]" "to wear trousers "    
着红鞋 著紅鞋 "[jeuk hùhng hàaih]" "(to wear red shoes)1. to have sex with the wives or girl friends of one's triad brother2. to have sex with the wives or girl friends of one's friend3. to betray someone"    
